cycle,sum(ville collect each.S),sum(ville collect each.I),sum(ville collect each.Le),sum(ville collect each.Lf),sum(ville collect each.T),sum(ville collect each.K),sum(ville collect each.R1),sum(ville collect each.R2)
1572,32.82673352786078,5427.595227486599,2029.2835744432236,1478.103076624991,62.49864039665844,187.49592118997532,806.2271182916253,239.55013112329308
1573,32.82759168439784,5427.1643681218075,2028.864135404786,1477.218983038453,62.608382726604255,187.82514817981277,805.9835765667009,239.51275886671104
1574,32.82861659366834,5426.707779317247,2028.4520915126686,1476.3419305651507,62.71732381120315,188.15197143360945,805.7537397790638,239.47636538776007
1575,32.82980669605228,5426.226777244672,2028.0471421208103,1475.4718952241901,62.825466679872605,188.47640003961783,805.5366330925709,239.4409346453796
1576,32.83115990942338,5425.722591188157,2027.6489993392884,1474.6088509166445,62.93281446790412,188.7984434037124,805.3313587943269,239.4064493076134
1577,32.832673718043445,5425.196370130932,2027.2573873221713,1473.752769551713,63.03937040740734,189.11811122222196,805.1370900042048,239.37289102194316
1578,32.8343452504541,5424.64918882292,2026.8720416074552,1472.90362116579,63.14513781894648,189.43541345683946,804.9530648997282,239.34024065027023
1579,32.83617134757717,5424.082053369925,2026.4927085047357,1472.0613740349445,63.25012010381529,189.75036031144583,804.7785814143931,239.30847847257982
1580,32.8381486221105,5423.495906382242,2026.1191445266438,1471.2259947812524,63.354320736899645,190.0629622106989,804.6129923708652,239.2775843628936
1581,32.840273510193164,5422.891631717557,2025.7511158604302,1470.3974484734024,63.4577432600822,190.37322978024656,804.4557010135646,239.24753794072876
1582,32.84254231621257,5369.2700588502685,2007.3883978763752,1457.575698721952,63.56039127614618,190.68117382843852,798.3061569080032,239.21831870093774
1583,32.847244699643774,5368.131739203105,2006.9961038350157,1456.7552823586961,63.65696135800103,190.9708840740031,798.7274424831671,239.1999370848366
1584,32.852138551781955,5367.0274370524185,2006.6074819392682,1455.9413616719844,63.75275357859925,191.2582607357977,799.1076046963531,239.18205361586513
1585,32.857190535646964,5365.95363446848,2006.2225828492965,1455.1338901918994,63.84777651555359,191.54332954666077,799.4502141095779,239.16459870218358
1586,32.86237193631762,5364.907120281912,2005.8414383938207,1454.3328223318965,63.94203835225509,191.82611505676522,799.7585394816318,239.1475140317062
1587,32.867658109029605,5363.884964395558,2005.4640636903566,1453.5381132335035,64.03554690986228,192.10664072958684,800.0355732909159,239.13075107924715
1588,32.87302798799286,5362.884494249864,2005.0904590632742,1452.749718629312,64.12830967661905,192.38492902985718,800.2840550726928,239.11426978938593
1589,32.87846364953466,5361.903273257284,2004.7206117782143,1451.9675947224798,64.22033383472453,192.66100150417356,800.5064927626129,239.09803741562524
1590,32.8839499238357,5360.939081037746,2004.3544976097046,1451.1916980811166,64.31162628495949,192.9348788548784,800.7051822207877,239.0820274984983
1591,32.88947405011919,5359.989895302065,2003.9920822572776,1450.4219855460806,64.40219366925706,193.20658100777118,800.8822250948347,239.06621896714339
1592,32.895025370683896,5359.053875243774,2003.6333226240051,1449.6584141508513,64.4920423913884,193.47612717416519,801.0395451659931,239.05059535052763
1593,32.900595059648666,5358.12934631206,2003.278167970081,1448.9009410522608,64.58117863592055,193.7435359077616,801.1789033094699,239.03514408598778
1594,32.90617588270252,5357.214786249521,2002.9265609529502,1448.1495234709882,64.6696083855902,194.00882515677057,801.3019111884618,239.0198559140841
1595,32.91176198453843,5356.3088122886475,2002.5784385644342,1447.4041186408158,64.75733743722468,194.272012311674,801.4100437906942,239.00472434995288
1596,32.917348700992186,5355.410169409975,2002.2337329743418,1446.6646837657452,64.8443714163311,194.53311424899326,801.5046509066933,238.98974522240366
1597,32.92293239321716,5354.517719573241,2001.8923722892125,1445.9311759841514,64.93071579046384,194.79214737139148,801.5869676402876,238.9749162729579
1598,32.9285103015026,5353.630431840443,2001.554281234036,1445.2035523392328,65.01637588147187,195.04912764441562,801.658124033906,238.96023680787548
1599,32.934080416592195,5352.747373316572,2001.2193817640955,1444.481769755082,65.10135687671867,195.304070630156,801.7191538840391,238.94570739697403
1600,32.93964136658318,5351.8677008401155,2000.8875936134232,1443.7657850177718,65.1856638393598,195.55699151807937,801.7710028156821,238.93132961372635
1601,32.945192317686946,5350.990653361155,2000.5588347857752,1443.0555547608988,65.26930171775653,195.80790515326956,801.8145356786173,238.91710581172634
1602,32.950732887312306,5350.1155449500775,2000.233021993492,1442.35103545509,65.35227535409653,196.0568260622896,801.8505433229672,238.9030389331598
1603,32.95626306809457,5349.241758384791,1999.9100710491284,1441.652183401018,65.43458949228813,196.30376847686438,801.8797488065118,238.88913234539717
1604,32.96178316163872,5348.368739268582,1999.5898972142866,1440.9589547255189,65.51624878518726,196.54874635556172,801.9028130817501,238.87538970226288
1605,32.967293720875375,5347.495990634872,1999.2724155096969,1440.2713053804366,65.59725780121376,196.79177340364123,801.9203402065839,238.86181482691984
1606,32.972795500045684,5346.623067998667,1998.9575409902022,1439.5891911438737,65.6776210304063,197.03286309121887,801.9328821187544,238.84841161365472
1607,32.978289411435846,5366.74957481792,2006.6451889879913,1443.912567623531,65.75734288996361,197.2720286698908,804.9409430107393,238.83518394615845
1608,32.983164315004665,5395.129405652253,2014.3333267898379,1449.2476641369558,65.8385333689693,197.51560010690787,807.6742162850321,238.8209528881729
1609,32.985629862878184,5397.731259220804,2016.0810769812533,1449.5827873912467,65.9220032677999,197.76600980339964,807.1225668467871,238.79567795864318
